date,nasdaq,yahoo,split,div,rn,ry,ecart_r,ratio_prix,titre
2023-04-03,123.77,123.7699966430664,0.0,0.0,-0.00801474713472794,-0.008014747350364448,2.1563650864919737e-10,0.9999999728776473,PLD
2023-04-04,124.08,124.08000183105467,0.0,0.0,0.0025046457138240275,0.0025046876981202892,-4.198429626178779e-08,1.0000000147570494,PLD
2023-04-05,122.27,122.2699966430664,0.0,0.0,-0.014587362991618336,-0.014587404587991015,4.1596372679642e-08,0.9999999725449121,PLD
2023-04-06,122.75,122.75,0.0,0.0,0.003925738120552857,0.003925765683423066,-2.7562870208441836e-08,1.0,PLD
2023-04-10,123.74,123.73999786376952,0.0,0.0,0.008065173116089674,0.008065155712990046,1.7403099628054974e-08,0.9999999827361364,PLD
2023-04-11,122.67,122.66999816894533,0.0,0.0,-0.008647163407143998,-0.008647161090160949,-2.3169830498659394e-09,0.9999999850733294,PLD
2023-04-12,122.81,122.80999755859376,0.0,0.0,0.0011412733349638327,0.0011412683764422393,4.9585215933234394e-09,0.9999999801204605,PLD
2023-04-13,121.92,121.91999816894533,0.0,0.0,-0.007246966859376314,-0.00724696203355768,-4.825818633591439e-09,0.9999999849815069,PLD
2023-04-14,119.76,119.76000213623048,0.0,0.0,-0.017716535433070835,-0.017716503159077468,-3.227399336669379e-08,1.0000000178375958,PLD
2023-04-17,123.14,123.13999938964844,0.0,0.0,0.028223112892451496,0.028223089454967765,2.343748373156984e-08,0.9999999950434338,PLD
2023-04-18,123.71,123.70999908447266,0.0,0.0,0.004628877700178613,0.004628875244838904,2.455339709328541e-09,0.9999999925994072,PLD
2023-04-19,125.16,125.16000366210938,0.0,0.0,0.011720960310403372,0.011720997400110011,-3.7089706639292785e-08,1.0000000292594229,PLD
2023-04-20,123.25,123.25,0.0,0.0,-0.01526046660274849,-0.015260495415658104,2.8812909613762372e-08,1.0,PLD
2023-04-21,123.58,123.58000183105467,0.0,0.0,0.002677484787018347,0.0026774996434455467,-1.485642719956104e-08,1.0000000148167558,PLD
2023-04-24,123.19,123.19000244140624,0.0,0.0,-0.003155850461239673,-0.0031558454755616916,-4.985677981572678e-09,1.0000000198182177,PLD
2023-04-25,120.64,120.63999938964844,0.0,0.0,-0.020699732121113756,-0.02069975648365352,2.4362539763345126e-08,0.9999999949407198,PLD
2023-04-26,119.07,119.06999969482422,0.0,0.0,-0.013013925729443043,-0.01301392326564399,-2.4637990536646726e-09,0.9999999974370053,PLD
2023-04-27,122.18,122.18000030517578,0.0,0.0,0.026119089611153168,0.026119094804085696,-5.1929325284305605e-09,1.0000000024977556,PLD
2023-04-28,125.25,125.25,0.0,0.0,0.025126862006874973,0.02512685944635873,2.5605162434771955e-09,1.0,PLD
2023-05-01,122.4,122.4000015258789,0.0,0.0,-0.022754491017964007,-0.02275447883529813,-1.2182665876103727e-08,1.0000000124663309,PLD
2023-05-02,122.48,122.4800033569336,0.0,0.0,0.0006535947712418277,0.0006536097226907955,-1.4951448967792658e-08,1.0000000274080143,PLD
2023-05-03,124.16,124.16000366210938,0.0,0.0,0.013716525146962644,0.013716527262657596,-2.115694952564695e-09,1.000000029495082,PLD
