cik,nom,symboles,secteur,sous_secteur,annee,chiffre_affaires,ca_etiquette,ca_nb_etiquettes,ca_ecart_relatif,fin_exercice,ca_depot,capex,capex_etiquette,rd,rd_etiquette
0000352541,Alliant Energy,LNT,Utilities,Electric Utilities,2025,4362000000.0,Revenues,3.0,0.9679046309032554,2025-12-31,0000352541-26-000007,2277000000.0,PaymentsToAcquireOtherPropertyPlantAndEquipment,,
0000731766,UnitedHealth Group,UNH,Health Care,Managed Health Care,2014,130474000000.0,Revenues,2.0,0.9674877753422138,2014-12-31,0000731766-17-000009,1525000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001099219,MetLife,MET,Financials,Life & Health Insurance,2023,66905000000.0,Revenues,2.0,0.9666841043270309,2023-12-31,0001099219-26-000013,,,,
0000352541,Alliant Energy,LNT,Utilities,Electric Utilities,2022,4205000000.0,Revenues,3.0,0.966230677764566,2022-12-31,0000352541-25-000014,1484000000.0,PaymentsToAcquirePropertyPlantAndEquipment,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2018,1196604000.0,Revenues,2.0,0.9651037435943721,2018-12-31,0001628280-21-003458,60677000.0,PaymentsToDevelopRealEstateAssets,,
0000352541,Alliant Energy,LNT,Utilities,Electric Utilities,2023,4027000000.0,Revenues,3.0,0.9647380183759623,2023-12-31,0000352541-26-000007,1731000000.0,PaymentsToAcquireOtherPropertyPlantAndEquipment,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2017,1105009000.0,Revenues,2.0,0.964363186182194,2017-12-31,0001628280-20-002202,31746000.0,PaymentsToDevelopRealEstateAssets,,
0000352541,Alliant Energy,LNT,Utilities,Electric Utilities,2024,3981000000.0,Revenues,3.0,0.9638281838733986,2024-12-31,0000352541-26-000007,2052000000.0,PaymentsToAcquireOtherPropertyPlantAndEquipment,,
0001289490,Extra Space Storage,EXR,Real Estate,Self-Storage REITs,2024,3256902000.0,Revenues,2.0,0.9628926507460157,2024-12-31,0001289490-26-000011,479059000.0,PaymentsToAcquireProductiveAssets,,
0000779152,Jack Henry & Associates,JKHY,Financials,Transaction & Payment Processing Services,2016,1354646000.0,Revenues,2.0,0.9626271365360397,2016-06-30,0000779152-18-000060,56325000.0,PaymentsToAcquirePropertyPlantAndEquipment,81234000.0,ResearchAndDevelopmentExpense
