serie,titre,poids,contribution,part_du_risque,rang
P1_reeq,AEP,0.0062567486408659344,0.00010943399112058096,0.000439024046198591,108
P1_reeq,XEL,0.005901082824531662,0.0001044924107433822,0.00041919956031812174,109
P1_reeq,APD,0.007000443627327187,0.00010398755599603282,0.0004171741989870187,110
P1_reeq,IBM,0.00468976819101631,9.740744067540003e-05,0.0003907762871231038,111
P1_reeq,DTE,0.006075406781139842,6.815502053104247e-05,0.00027342229389510964,112
P1_reeq,LDOS,0.004220610100886589,4.58390366184545e-05,0.00018389569021479764,113
P1_reeq,EVRG,0.006493780002101861,3.6248595205483807e-05,0.00014542104124294744,114
P1_reeq,AEE,0.00614375235385382,2.314347200115308e-05,9.284629589936577e-05,115
P1_reeq,PPL,0.005820032488541516,5.807906470781533e-06,2.329998725840084e-05,116
P1_reeq,LNT,0.006031218744285363,4.803522329118062e-06,1.9270628689864928e-05,117
P1_reeq,WEC,0.0057910608525968375,-2.52477918079952e-06,-1.0128834381003473e-05,118
P1_reeq,D,0.006468448799373757,-1.3632457234402642e-05,-5.4690288395696857e-05,119
P1_reeq,NDAQ,0.005833278606896365,-1.449634314507128e-05,-5.815600032004585e-05,120
P1_reeq,CNP,0.005961287913568446,-2.0873691591603825e-05,-8.374045804059099e-05,121
P1_reeq,KMI,0.0065950568010823074,-2.4257111089837865e-05,-9.731396023028276e-05,122
P1_reeq,FE,0.0060142053081734355,-3.618869347287156e-05,-0.00014518072924521761,123
P1_reeq,CMS,0.005658043584171214,-4.518152652250363e-05,-0.0001812579106749588,124
P1_reeq,SBAC,0.0057281119768885355,-6.677770499869534e-05,-0.00026789682021265083,125
P1_reeq,O,0.006220153225983026,-7.99781279563699e-05,-0.0003208538862857089,126
P1_reeq,PNW,0.006439409492573216,-8.396840784328042e-05,-0.0003368619730188889,127
P1_reeq,SO,0.005882118195946066,-0.00010370620097638625,-0.00041604546724765065,128
P1_reeq,L,0.00607805796388691,-0.00012466642964692028,-0.0005001330921798913,129
