fichier,test,date,detail
COHR.csv,prix fige,1991-04-30,0.2109
COHR.csv,prix fige,1991-05-10,0.2109
COHR.csv,prix fige,1991-05-20,0.2109
COHR.csv,prix fige,1991-05-22,0.2188
COHR.csv,prix fige,1991-05-24,0.2031
COHR.csv,prix fige,1991-05-28,0.2031
COHR.csv,prix fige,1991-05-29,0.2031
COHR.csv,prix fige,1991-06-07,0.1953
COHR.csv,prix fige,1991-06-11,0.1875
COHR.csv,prix fige,1991-06-17,0.1797
COHR.csv,prix fige,1991-06-21,0.1953
COHR.csv,prix fige,1991-06-24,0.1953
COHR.csv,prix fige,1991-06-25,0.1953
COHR.csv,prix fige,1991-06-26,0.1953
COHR.csv,prix fige,1991-06-27,0.1953
COHR.csv,prix fige,1991-07-03,0.1875
COHR.csv,prix fige,1991-07-09,0.1875
COHR.csv,prix fige,1991-07-11,0.1875
COHR.csv,prix fige,1991-07-15,0.1797
COHR.csv,prix fige,1991-07-16,0.1797
COHR.csv,prix fige,1991-07-22,0.1797
COHR.csv,prix fige,1991-07-25,0.1875
COHR.csv,prix fige,1991-07-30,0.1641
COHR.csv,prix fige,1991-07-31,0.1641
COHR.csv,prix fige,1991-08-06,0.1641
COHR.csv,prix fige,1991-08-07,0.1641
COHR.csv,prix fige,1991-08-09,0.1641
COHR.csv,prix fige,1991-08-12,0.1641
COHR.csv,prix fige,1991-09-09,0.2188
COHR.csv,prix fige,1991-09-11,0.1875
COHR.csv,prix fige,1991-09-16,0.1953
COHR.csv,prix fige,1991-09-18,0.1797
COHR.csv,prix fige,1991-09-24,0.1641
COHR.csv,prix fige,1991-09-25,0.1641
COHR.csv,prix fige,1991-10-02,0.1953
COHR.csv,prix fige,1991-10-04,0.1875
COHR.csv,prix fige,1991-10-07,0.1875
COHR.csv,prix fige,1991-10-16,0.1953
COHR.csv,prix fige,1991-10-17,0.1953
COHR.csv,prix fige,1991-10-18,0.1953
COHR.csv,prix fige,1991-10-21,0.1953
